section,metric,value,year,stage,ancestry,entity_type,entity,era,snapshot
annual_growth,Publications,132.0,2026.0,,,,,,
annual_growth,Accessions,30408.0,2026.0,,,,,,
annual_growth,Discovery participant instances,1881816430.0,2026.0,,,,,,
annual_growth,Replication participant instances,92503391.0,2026.0,,,,,,
annual_growth,Cumulative publications,7797.0,2026.0,,,,,,
annual_growth,Cumulative accessions,229900.0,2026.0,,,,,,
annual_ancestry,Participant share (%),86.24031007751938,2005.0,initial,European,,,,
annual_ancestry,Participant share (%),0.09689922480620156,2005.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.0,2005.0,initial,African,,,,
annual_ancestry,Participant share (%),0.0,2005.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.0,2005.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),13.662790697674417,2005.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),77.11204313960455,2006.0,initial,European,,,,
annual_ancestry,Participant share (%),4.51368084681446,2006.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.0,2006.0,initial,African,,,,
annual_ancestry,Participant share (%),18.374276013580985,2006.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.0,2006.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.0,2006.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),98.96446512774679,2007.0,initial,European,,,,
annual_ancestry,Participant share (%),0.3948747187721515,2007.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.0,2007.0,initial,African,,,,
annual_ancestry,Participant share (%),0.0,2007.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.21612167534748977,2007.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.4245384781335717,2007.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),97.5664025969838,2008.0,initial,European,,,,
annual_ancestry,Participant share (%),0.98217505210873,2008.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.0,2008.0,initial,African,,,,
annual_ancestry,Participant share (%),0.2999000333222259,2008.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.003908765504362671,2008.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),1.1476135520808803,2008.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),92.49167322106676,2009.0,initial,European,,,,
annual_ancestry,Participant share (%),4.218251470856122,2009.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.17917729535497634,2009.0,initial,African,,,,
annual_ancestry,Participant share (%),0.5051203521890885,2009.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.14749684870941782,2009.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),2.45828081182363,2009.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),87.85751305282555,2010.0,initial,European,,,,
annual_ancestry,Participant share (%),8.739794481981981,2010.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.2837070024570025,2010.0,initial,African,,,,
annual_ancestry,Participant share (%),0.6035332207207207,2010.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.07051085176085177,2010.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),2.44494139025389,2010.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),83.19702204042856,2011.0,initial,European,,,,
annual_ancestry,Participant share (%),11.331277045535316,2011.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.1430591845888438,2011.0,initial,African,,,,
annual_ancestry,Participant share (%),4.240955326822564,2011.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.29220165902083484,2011.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.7954847436038864,2011.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),75.9120201884445,2012.0,initial,European,,,,
annual_ancestry,Participant share (%),13.632756216723942,2012.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.14981655855897794,2012.0,initial,African,,,,
annual_ancestry,Participant share (%),6.96809678159694,2012.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.1072810196736222,2012.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),2.2300292350020134,2012.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),87.42714851759736,2013.0,initial,European,,,,
annual_ancestry,Participant share (%),6.511143958325342,2013.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.32998665458990645,2013.0,initial,African,,,,
annual_ancestry,Participant share (%),4.453472511110522,2013.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.9039474680600179,2013.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.3743008903168576,2013.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),89.15274631170689,2014.0,initial,European,,,,
annual_ancestry,Participant share (%),7.459178408707418,2014.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.7571164169444882,2014.0,initial,African,,,,
annual_ancestry,Participant share (%),1.537770593534716,2014.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.6556329015870865,2014.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.4375553675193938,2014.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),91.39540784437678,2015.0,initial,European,,,,
annual_ancestry,Participant share (%),5.956036327553461,2015.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.25377734779330186,2015.0,initial,African,,,,
annual_ancestry,Participant share (%),1.0610787157994583,2015.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.8325969039256624,2015.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.5011028605513403,2015.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),94.22913723917597,2016.0,initial,European,,,,
annual_ancestry,Participant share (%),2.527496833967528,2016.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.12650393371632193,2016.0,initial,African,,,,
annual_ancestry,Participant share (%),1.5534093639010327,2016.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.4661918619580183,2016.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.09726076728112074,2016.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),90.53183640403526,2017.0,initial,European,,,,
annual_ancestry,Participant share (%),4.628967498009723,2017.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.6818563403075598,2017.0,initial,African,,,,
annual_ancestry,Participant share (%),1.6512057882496303,2017.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.9258119056809064,2017.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.5803220637169225,2017.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),98.53879048181633,2018.0,initial,European,,,,
annual_ancestry,Participant share (%),1.0649512912830885,2018.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.11806508716107816,2018.0,initial,African,,,,
annual_ancestry,Participant share (%),0.09902513400486343,2018.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.09690119006952677,2018.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.08226681566511324,2018.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),91.78259709464251,2019.0,initial,European,,,,
annual_ancestry,Participant share (%),3.7178200260612235,2019.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.6879438710326886,2019.0,initial,African,,,,
annual_ancestry,Participant share (%),1.1898680068994942,2019.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.1064807865789485,2019.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),1.5152902147851357,2019.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),85.25185829604803,2020.0,initial,European,,,,
annual_ancestry,Participant share (%),8.650210604318161,2020.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.08981262564206645,2020.0,initial,African,,,,
annual_ancestry,Participant share (%),0.5986103065455188,2020.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.5190283892446201,2020.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),4.8904797782015965,2020.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),97.43544055676729,2021.0,initial,European,,,,
annual_ancestry,Participant share (%),2.1154331232197823,2021.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.04590955655923755,2021.0,initial,African,,,,
annual_ancestry,Participant share (%),0.04876494737669115,2021.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.08562594987205632,2021.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.2688258662049543,2021.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),83.73113901763375,2022.0,initial,European,,,,
annual_ancestry,Participant share (%),5.148343149584082,2022.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.5685811513500613,2022.0,initial,African,,,,
annual_ancestry,Participant share (%),1.6078046884042771,2022.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.48415186102985874,2022.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),8.459980131997973,2022.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),90.6260344185884,2023.0,initial,European,,,,
annual_ancestry,Participant share (%),6.157354963820051,2023.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.5172053952182739,2023.0,initial,African,,,,
annual_ancestry,Participant share (%),0.34948975209637395,2023.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.39618428657556254,2023.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),1.9537311837013307,2023.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),79.12270011606162,2024.0,initial,European,,,,
annual_ancestry,Participant share (%),2.8398256972983114,2024.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.039706895657674726,2024.0,initial,African,,,,
annual_ancestry,Participant share (%),12.534129938405824,2024.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),5.288509305911707,2024.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.17512804666486204,2024.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),86.55019824278175,2025.0,initial,European,,,,
annual_ancestry,Participant share (%),11.22427524403034,2025.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.7236956130567115,2025.0,initial,African,,,,
annual_ancestry,Participant share (%),0.19954681776299488,2025.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.2543255407593724,2025.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),1.0479585416088348,2025.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),83.65496425133118,2026.0,initial,European,,,,
annual_ancestry,Participant share (%),13.903865241843146,2026.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.2613573171439996,2026.0,initial,African,,,,
annual_ancestry,Participant share (%),0.17864336997209365,2026.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.16683544677825893,2026.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),1.834334372931326,2026.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),81.47590361445783,2005.0,replication,European,,,,
annual_ancestry,Participant share (%),0.15060240963855423,2005.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.0,2005.0,replication,African,,,,
annual_ancestry,Participant share (%),0.0,2005.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.0,2005.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),18.373493975903614,2005.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),87.33644620042075,2006.0,replication,European,,,,
annual_ancestry,Participant share (%),0.0,2006.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.0,2006.0,replication,African,,,,
annual_ancestry,Participant share (%),4.443532248960953,2006.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.0,2006.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),8.220021550618299,2006.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),93.68074544813591,2007.0,replication,European,,,,
annual_ancestry,Participant share (%),3.0424364263460273,2007.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.008336747429899864,2007.0,replication,African,,,,
annual_ancestry,Participant share (%),0.747687148070162,2007.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.9649189668149813,2007.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),1.555875263203026,2007.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),93.34270373316396,2008.0,replication,European,,,,
annual_ancestry,Participant share (%),4.6233241159536895,2008.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.0,2008.0,replication,African,,,,
annual_ancestry,Participant share (%),0.7541113046584631,2008.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.0,2008.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),1.279860846223893,2008.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),84.5798108240194,2009.0,replication,European,,,,
annual_ancestry,Participant share (%),9.534157280586735,2009.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.32216648990039953,2009.0,replication,African,,,,
annual_ancestry,Participant share (%),1.2001499190596567,2009.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.2872499307934432,2009.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),4.076465555640363,2009.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),85.49745426183722,2010.0,replication,European,,,,
annual_ancestry,Participant share (%),11.338810108464147,2010.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.2472301535078749,2010.0,replication,African,,,,
annual_ancestry,Participant share (%),0.35631373841522584,2010.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.043633433962940414,2010.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),2.5165583038125883,2010.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),72.67972748880386,2011.0,replication,European,,,,
annual_ancestry,Participant share (%),20.858530906367704,2011.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.1718274790143372,2011.0,replication,African,,,,
annual_ancestry,Participant share (%),3.0366625717692033,2011.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.5155813210708349,2011.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),2.737670232974066,2011.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),65.92665256479981,2012.0,replication,European,,,,
annual_ancestry,Participant share (%),26.78807094256543,2012.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.5316430520500222,2012.0,replication,African,,,,
annual_ancestry,Participant share (%),1.4065683324329945,2012.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.5070188175049167,2012.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),4.840046290646835,2012.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),75.61182089632076,2013.0,replication,European,,,,
annual_ancestry,Participant share (%),18.631694591474496,2013.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.45148328101883467,2013.0,replication,African,,,,
annual_ancestry,Participant share (%),3.6989068755409154,2013.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.5400647077583317,2013.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),1.0660296478866482,2013.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),70.11762338531021,2014.0,replication,European,,,,
annual_ancestry,Participant share (%),25.739864694911436,2014.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.024743205400279106,2014.0,replication,African,,,,
annual_ancestry,Participant share (%),1.849144701171762,2014.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.0515117017847528,2014.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),1.2171123114215605,2014.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),80.15683897033595,2015.0,replication,European,,,,
annual_ancestry,Participant share (%),15.945210407624174,2015.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.7091867836097574,2015.0,replication,African,,,,
annual_ancestry,Participant share (%),2.137436021233475,2015.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.2840039024573764,2015.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.7673239147392618,2015.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),78.51343931290755,2016.0,replication,European,,,,
annual_ancestry,Participant share (%),11.938733763701293,2016.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.33421394440280666,2016.0,replication,African,,,,
annual_ancestry,Participant share (%),2.7466710404333976,2016.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.4464106183875167,2016.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),5.020531320167432,2016.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),85.5319410589471,2017.0,replication,European,,,,
annual_ancestry,Participant share (%),9.663829804858358,2017.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.344056974694445,2017.0,replication,African,,,,
annual_ancestry,Participant share (%),2.373895157921968,2017.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.7162865263347709,2017.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.3699904772433515,2017.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),74.57380778277893,2018.0,replication,European,,,,
annual_ancestry,Participant share (%),22.844882364514394,2018.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.5014141432628112,2018.0,replication,African,,,,
annual_ancestry,Participant share (%),0.3553309825440684,2018.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.3941092942393774,2018.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.33045543266042043,2018.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),82.9947827727723,2019.0,replication,European,,,,
annual_ancestry,Participant share (%),12.031582202514794,2019.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.9955563941695363,2019.0,replication,African,,,,
annual_ancestry,Participant share (%),0.9458894811600128,2019.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),2.8775487313342873,2019.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.1546404180490694,2019.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),87.36057377211714,2020.0,replication,European,,,,
annual_ancestry,Participant share (%),2.605489219222589,2020.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.3562981283226961,2020.0,replication,African,,,,
annual_ancestry,Participant share (%),2.0996166747410476,2020.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),3.4227960856234265,2020.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),4.155226119973107,2020.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),85.74658750618411,2021.0,replication,European,,,,
annual_ancestry,Participant share (%),3.309200315324676,2021.0,replication,Asian,,,,
annual_ancestry,Participant share (%),0.13388235021042738,2021.0,replication,African,,,,
annual_ancestry,Participant share (%),0.6383155172481163,2021.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),1.9593416937412491,2021.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),8.212672617291423,2021.0,replication,Other/Mixed,,,,
annual_ancestry,Participant share (%),75.0141667860556,2022.0,replication,European,,,,
annual_ancestry,Participant share (%),9.73701616599115,2022.0,replication,Asian,,,,
annual_ancestry,Participant share (%),1.476596887884777,2022.0,replication,African,,,,
annual_ancestry,Participant share (%),6.103990271217776,2022.0,replication,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),2.8985313269265682,2022.0,replication,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),4.769698561924128,2022.0,replication,Other/Mixed,,,,
